57	82	120	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
58	82	122	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
59	82	124	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
60	82	126	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
61	82	126	0.0	0.0	(9, -1, 5, 0, 5)	(0, 0, 0, 0, 0)	sp
62	82	126	0.0	0.0	(-11, -1, 5, 0, 5)	(0, 0, 0, 0, 0)	sp
63	82	126	0.0	0.0	(0, 0, 0, 0, 0)	(11, 1, 6, 0, 6)	sp
64	82	126	0.0	0.0	(0, 0, 0, 0, 0)	(-13, 1, 6, 0, 6)	sp
65	82	128	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
66	82	130	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
67	82	132	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
68	90	142	36.8397399342	0.4	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
69	92	142	33.6298101981	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
70	92	144	34.110230866	0.4	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
71	92	144	79.5905386874	0.6	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	fiss
72	92	146	34.5933734787	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
73	92	146	80.7178714502	0.6	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	fiss
74	94	144	43.8528664465	0.4	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
75	94	146	35.0792303899	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
76	94	146	81.8515375764	0.6	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	fiss
77	96	144	45.5258252	0.4	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
78	96	146	35.5677940388	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
79	96	146	82.9915194238	0.6	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	fiss
80	96	148	36.0590569481	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
81	96	150	34.1161442742	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
82	98	144	47.0704186309	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
83	98	146	33.6551198182	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
84	98	148	34.1161442742	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
85	98	150	34.5796743102	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
86	98	152	35.0457031725	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
87	98	154	35.5142241795	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
88	98	156	35.9852307208	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
89	100	146	34.1161442742	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
90	100	148	34.5796743102	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
91	100	150	35.0457031725	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
92	100	152	38.0509544781	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
93	100	154	34.7000439094	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
94	100	156	35.1566192462	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
95	102	150	35.5142241795	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
96	102	152	35.9852307208	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
97	102	154	36.4587162553	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
98	104	152	51.7258036872	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
99	106	154	36.0769163917	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
100	108	156	37.0067013038	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
101	52	82      0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0) sph
102	52	84	-0.006	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0) def
103	52	86	2.816	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0) def
104	52	88	4.764	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0) def
105	54	84	2.977	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0) def
106	54	86	5.638	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0) def
107	56	86	6.363	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0) def
108	56	88	7.975	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0) def
109	56	90	9.319	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0) def
110	58	88	8.539	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0) def
111	58	90	10.881	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0) def
112	58	92	13.946	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0) def
113	62	96	18.201	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0) def
114	62	98	18.805	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0) def
115	50	84      0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0) sph
116	50	80      0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0) sph
