1	20	20	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
2	20	22	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
3	20	24	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
4	20	26	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
5	20	28	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
6	20	30	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
7	28	28	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
8	28	30	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
9	28	32	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
10	28	34	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
11	28	36	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
12	50	58	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
13	50	62	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
14	50	64	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
15	50	66	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
16	50	68	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
17	50	70	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
18	50	72	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
19	50	74	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
20	64	88	12.35730678	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
21	64	90	15.6498246393	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
22	64	92	17.7226584171	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
23	64	94	18.7332905809	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
24	64	96	19.5132880008	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
25	64	98	20.1838791693	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
26	66	90	15.2434823547	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
27	66	92	17.5477867612	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
28	66	94	17.8469753978	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
29	66	96	19.5437380853	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
30	66	98	18.5967791675	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
31	66	100	20.7942261735	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
32	66	102	21.0856870294	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
33	68	102	19.7445022346	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
34	68	104	20.8042711038	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
35	70	100	21.0608023836	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
36	70	108	22.7384076406	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
37	72	104	20.9195545938	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
38	82	116	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
39	82	118	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
40	82	120	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
41	82	122	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
42	82	124	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
43	82	126	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
44	82	128	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
45	82	130	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
46	82	132	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
47	90	142	33.1521192077	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
48	92	142	33.6298101981	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
49	92	144	34.110230866	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
50	92	144	79.5905386874	0.6	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
51	92	146	34.5933734787	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
52	92	146	80.7178714502	0.6	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
53	94	144	34.5933734787	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
54	94	146	35.0792303899	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
55	94	146	81.8515375764	0.6	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
56	96	144	35.0792303899	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
57	96	146	35.5677940388	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)
