 RHO_NM  E_NM K_NM  ASS_NM LASS_NM SMASS_NM CrDr(0) CrDr(1) CpV0(0) CpV0(1) CrdJ(0) CrdJ(1)
 0.158706769332587 -15.8 220.0  28.9867890577721 40.0047904804136 0.992423332283364 -45.1351310222373 -145.382167908057 -186.065399575124 -206.579593890106 -74.0263331764599 -35.6582611147917
   1.5953421e-01  -1.5762722e+01   2.1335333e+02   2.8266462e+01   3.4835738e+01   1.0473853e+00  -4.7693565e+01  -1.5791473e+02  -1.9369639e+02  -2.1181502e+02  -7.8256471e+01  -2.8616359e+01
   1.5933526e-01  -1.5759273e+01   2.1168092e+02   2.8217253e+01   3.2888601e+01   1.0340870e+00  -4.6681652e+01  -1.5853171e+02  -1.9519237e+02  -2.1136869e+02  -7.8476233e+01  -2.6083872e+01
   1.6105905e-01  -1.5784042e+01   2.0031626e+02   2.9506937e+01   4.4944681e+01   9.6676114e-01  -4.5808096e+01  -1.7987301e+02  -1.8452413e+02  -1.9982514e+02  -7.5241603e+01  -7.5914329e+01
   1.5862987e-01  -1.5752295e+01   2.1371403e+02   2.8397000e+01   2.9171847e+01   1.0558558e+00  -4.8689348e+01  -1.2717437e+02  -2.0071641e+02  -2.1120367e+02  -7.9642181e+01  -6.3192930e+01
   1.5881428e-01  -1.5788638e+01   2.1787182e+02   2.8538486e+01   3.3342752e+01   9.5839984e-01  -4.4238404e+01  -1.2597037e+02  -1.7975029e+02  -2.0497806e+02  -7.4912346e+01  -7.1946834e+00
   1.5921109e-01  -1.5754534e+01   2.1494213e+02   2.7703996e+01   3.4087653e+01   9.9428940e-01  -4.4466905e+01  -1.8804282e+02  -1.8654880e+02  -2.0771399e+02  -7.5377401e+01  -1.6547198e+01
   1.5711473e-01  -1.5697279e+01   2.1947110e+02   2.7282692e+01   1.5790453e+01   9.1407572e-01  -4.0345271e+01  -1.2078197e+02  -1.6840253e+02  -2.0127353e+02  -7.3890843e+01  -6.7350104e+01
   1.6175645e-01  -1.5828474e+01   2.0684532e+02   3.0338576e+01   5.2172677e+01   1.1023671e+00  -5.1865377e+01  -1.3015449e+02  -1.9998070e+02  -2.1660733e+02  -8.0318519e+01   3.7634086e+00
   1.5899225e-01  -1.5764753e+01   2.1708442e+02   2.8210859e+01   4.0201183e+01   1.1561639e+00  -5.2118156e+01  -1.9303944e+02  -2.0736841e+02  -2.2158878e+02  -8.2037695e+01  -2.5328046e+01
   1.5881864e-01  -1.5753496e+01   2.1778445e+02   2.8509086e+01   4.6576670e+01   1.0933049e+00  -4.8296002e+01  -2.0599052e+02  -2.0310384e+02  -2.2184838e+02  -7.7305823e+01  -6.5731337e+01
